workerid,proliferate.condition,answerer gender,character_type,crit_trial_number,fill_trial_number,image1,image2,item,maximum,minimum,minute,name1,name2,questioner gender,stakes,time,trial_number,trial_time_minutes,trial_type,id_data.char_group1,id_data.char_group2,id_data.char_group3,id_data.self_id1,id_data.self_id2,id_data.self_id3,id_data.self_id_image1,id_data.self_id_image2,id_data.self_id_image3,id_data.self_id_image4,id_data.self_id_image5,id_data.self_id_image6,id_data.trial_time_minutes,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
738,condition1,female,fill,NA,1,filler_guy1,filler_girl3,store_fill,-4,-20,15,Alex,Quinn,male,high,none,1,0.8751666666666666,fill,hippie,nerd,filler,1,2,5,hippie_girl2,hippie_guy2,nerd_girl2,nerd_guy2,filler_girl2,filler_guy3,0.33625,36,Yes,,2,1,1,Male,english,Chrome,Windows,864,1536,4.63505,
738,condition1,male,hippie,1,NA,hippie_guy2,hippie_guy1,airport_crit,3,-3,none,Devin,Jamie,male,low,3:00,2,0.7001166666666667,crit,hippie,nerd,filler,1,2,5,hippie_girl2,hippie_guy2,nerd_girl2,nerd_guy2,filler_girl2,filler_guy3,0.33625,36,Yes,,2,1,1,Male,english,Chrome,Windows,864,1536,4.63505,
738,condition1,female,hippie,2,NA,hippie_girl1,hippie_girl2,bank_crit,3,-3,none,Jessie,Jordan,female,high,9:30,3,0.35906666666666665,crit,hippie,nerd,filler,1,2,5,hippie_girl2,hippie_guy2,nerd_girl2,nerd_guy2,filler_girl2,filler_guy3,0.33625,36,Yes,,2,1,1,Male,english,Chrome,Windows,864,1536,4.63505,
738,condition1,male,fill,NA,2,filler_guy3,filler_guy4,coffee_fill,10,-10,20,Dakota,Morgan,male,high,none,4,0.5033333333333333,fill,hippie,nerd,filler,1,2,5,hippie_girl2,hippie_guy2,nerd_girl2,nerd_guy2,filler_girl2,filler_guy3,0.33625,36,Yes,,2,1,1,Male,english,Chrome,Windows,864,1536,4.63505,
738,condition1,male,fill,NA,3,filler_girl4,filler_guy2,restaurant_fill,11,-10,10,Skyler,Shawn,female,low,none,5,0.27958333333333335,fill,hippie,nerd,filler,1,2,5,hippie_girl2,hippie_guy2,nerd_girl2,nerd_guy2,filler_girl2,filler_guy3,0.33625,36,Yes,,2,1,1,Male,english,Chrome,Windows,864,1536,4.63505,
738,condition1,female,nerd,3,NA,nerd_guy2,nerd_girl2,premiere_crit,3,-2,none,Sam,Taylor,male,low,8:00,6,0.34495,crit,hippie,nerd,filler,1,2,5,hippie_girl2,hippie_guy2,nerd_girl2,nerd_guy2,filler_girl2,filler_guy3,0.33625,36,Yes,,2,1,1,Male,english,Chrome,Windows,864,1536,4.63505,
738,condition1,female,fill,NA,4,filler_girl2,filler_girl1,phone_fill,6,-5,5,Ash,Casey,female,low,none,7,0.20316666666666663,fill,hippie,nerd,filler,1,2,5,hippie_girl2,hippie_guy2,nerd_girl2,nerd_guy2,filler_girl2,filler_guy3,0.33625,36,Yes,,2,1,1,Male,english,Chrome,Windows,864,1536,4.63505,
738,condition1,female,nerd,4,NA,nerd_guy1,nerd_girl1,shopping_crit,3,-3,none,Kendall,Riley,male,high,1:30,8,0.26693333333333336,crit,hippie,nerd,filler,1,2,5,hippie_girl2,hippie_guy2,nerd_girl2,nerd_guy2,filler_girl2,filler_guy3,0.33625,36,Yes,,2,1,1,Male,english,Chrome,Windows,864,1536,4.63505,
708,condition1,female,hippie,1,NA,hippie_guy2,hippie_girl1,shopping_crit,5,-5,none,Jamie,Morgan,male,high,8:00,1,0.58195,crit,hippie,nerd,filler,3,1,5,hippie_girl2,hippie_guy1,nerd_girl1,nerd_guy1,filler_girl1,filler_guy3,0.3796833333333333,66,Yes,,3,1,1,Male,English,Chrome,Windows,768,1366,3.9248833333333337,
708,condition1,male,fill,NA,1,filler_girl2,filler_guy3,coffee_fill,5,-10,15,Alex,Taylor,female,high,none,2,0.36161666666666664,fill,hippie,nerd,filler,3,1,5,hippie_girl2,hippie_guy1,nerd_girl1,nerd_guy1,filler_girl1,filler_guy3,0.3796833333333333,66,Yes,,3,1,1,Male,English,Chrome,Windows,768,1366,3.9248833333333337,
708,condition1,female,nerd,2,NA,nerd_girl1,nerd_girl2,airport_crit,-5,5,none,Riley,Quinn,female,low,3:00,3,0.26431666666666664,crit,hippie,nerd,filler,3,1,5,hippie_girl2,hippie_guy1,nerd_girl1,nerd_guy1,filler_girl1,filler_guy3,0.3796833333333333,66,Yes,,3,1,1,Male,English,Chrome,Windows,768,1366,3.9248833333333337,
708,condition1,male,fill,NA,2,filler_girl1,filler_guy2,store_fill,-5,0,5,Jordan,Kendall,female,high,none,4,0.35013333333333335,fill,hippie,nerd,filler,3,1,5,hippie_girl2,hippie_guy1,nerd_girl1,nerd_guy1,filler_girl1,filler_guy3,0.3796833333333333,66,Yes,,3,1,1,Male,English,Chrome,Windows,768,1366,3.9248833333333337,
